msn;reg;hex_code;deliv;exit;type_text;type_code;airline;airline_country;airline_type;operator;operator_country;MTOW;MZFW;MZFW_Range;MZFW_Payload;MZFW_Fuel;MFW;MFW_Range;MFW_Payload;MFM_Fuel;OEW;OEW_Range;OEW_Payload;OEW_Fuel;Volume;Category;v_max;k_m;contact;num_last_flights;a_margin;b_margin;c_margin;d_margin;current_location_lat;current_location_long;virtual_base_lat;virtual_base_long;acmi_h;charter_focus;fuel_price_kg;co2_price_kg
1494-175;N304JT;;2012-07-31 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1119-69;N444CB;;2008-05-19 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1169-88;N690RR;;2006-02-03 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;43.9082777777778;-92.5000277777778;;;447.35650564622364;1;0.65461;0.10112
500B-995-26;N818TE;;2004-02-26 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1468-166;N131JT;;1997-07-18 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1027-38;N127KH;;1996-07-18 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1386-139;N324RR;;1995-03-27 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1412-147;N777CM;;1990-02-02 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-997-28;N630KC;;1987-10-06 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1362-133;N261ER;;1986-09-19 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1574;N516DT;;1985-10-01 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;32.8459447222222;-96.8508766666667;38.41573285883751;-95.91684030791076;447.35650564622364;1;0.65461;0.10112
500B-1225-102;N716TC;;1985-08-13 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;39.5701186111111;-104.849293055556;;;447.35650564622364;1;0.65461;0.10112
1621-214;N411ET;;1985-08-01 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1235-106;N523AT;;1985-07-31 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1460-163;N118PW;;1985-07-18 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1598-207;N922BS;;1985-07-17 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;32.8459447222222;-96.8508766666667;37.30301712730797;-96.11432431310746;447.35650564622364;1;0.65461;0.10112
1523-185;N610BW;;1985-06-28 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-918-5;N415BH;;1981-03-05 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1315-124;N443WA;;1980-12-01 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1137-77;N917GT;;1979-07-02 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500B-1480-172;N713SP;;1979-04-25 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;33.5638888888889;-86.7523055555556;34.64727934611327;-85.12251081155475;447.35650564622364;1;0.65461;0.10112
500B-1014-35;N411JF;;1979-04-16 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
500A-1065-46;N23BQ;;1979-02-13 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
1458-162;N444CA;;1976-10-06 00:00:00;;Aero Commander 500-B;AC50;Central Air Southwest;United States;Cargo;Central Air Southwest;United States;3062.0;2800.0;700.0;698.0;262.0;2628.0;1240.0;526.0;434.0;2102.0;1592.0;0.0;434.0;5.0;1.0;301.6390692144576;17.31880448667637;https://centralairsouthwest.com;10;169.0;0.0;-0.1;0.0;;;;;447.35650564622364;1;0.65461;0.10112
BA-494;N9690R;;2005-12-27 00:00:00;;Beech 18;BE18;Aztec Airways;United States;Cargo;Aztec Airways;United States;3402.0;3160.0;540.0;702.0;242.0;2602.0;1481.0;144.0;800.0;2458.0;1900.0;0.0;800.0;10.0;1.0;305.3474270588646;29.69127623526916;https://www.flyaztec.com/CargoCharters.aspx;10;169.0;0.0;-0.1;0.0;;;;;474.90670289084534;1;0.65461;0.10112
402B1044;N167WA;;2000-05-02 00:00:00;;Cessna 402B;C402;Western Air Express;United States;Cargo;Western Air Express;United States;3107.0;2745.0;905.0;896.0;362.0;2483.0;1515.0;634.0;624.0;1849.0;2358.0;0.0;624.0;4.0;1.0;357.3406722444047;83.54576357131045;https://westernairexpress.com;10;169.0;0.0;-0.1;0.0;43.5643611111111;-116.222861111111;;;451.0762151283034;1;0.65461;0.10112
402C0808;N168WA;;2000-05-02 00:00:00;;Cessna 402C;C402;Western Air Express;United States;Cargo;Western Air Express;United States;3107.0;2745.0;905.0;896.0;362.0;2483.0;1515.0;634.0;624.0;1849.0;2358.0;0.0;624.0;4.0;1.0;345.4865448286825;53.81317603934747;https://westernairexpress.com;10;169.0;0.0;-0.1;0.0;;;;;451.0762151283034;1;0.65461;0.10112
1625;C-FPMA;;2019-01-01 00:00:00;;De Havilland Canada DHC-2 Beaver;DHC2;Seair Seaplanes;Canada;Cargo;Seair Seaplanes;Canada;2313.0;2040.0;578.0;679.0;273.0;1693.0;1620.0;332.0;620.0;1361.0;2110.0;0.0;620.0;6.0;1.0;200.3974225357438;2.28765851139386;https://www.seairseaplanes.com;10;169.0;0.0;-0.1;0.0;;;49.193901062;-123.1839981079;381.510757442254;1;0.65461;0.10112
1019;C-FZZJ;;2017-07-08 00:00:00;;De Havilland Canada DHC-2 Beaver;DHC2;Seair Seaplanes;Canada;Cargo;Seair Seaplanes;Canada;2313.0;2040.0;578.0;679.0;273.0;1693.0;1620.0;332.0;620.0;1361.0;2110.0;0.0;620.0;6.0;1.0;200.3974225357438;2.28765851139386;https://www.seairseaplanes.com;10;169.0;0.0;-0.1;0.0;;;;;381.510757442254;1;0.65461;0.10112
1019;CF-ZZJ;;2017-07-08 00:00:00;;De Havilland Canada DHC-2 Beaver;DHC2;Seair Seaplanes;Canada;Cargo;Seair Seaplanes;Canada;2313.0;2040.0;578.0;679.0;273.0;1693.0;1620.0;332.0;620.0;1361.0;2110.0;0.0;620.0;6.0;1.0;200.3974225357438;2.28765851139386;https://www.seairseaplanes.com;10;169.0;0.0;-0.1;0.0;;;;;381.510757442254;1;0.65461;0.10112
